SectionIndex,CourseIndex,CourseName,Category,Keyword,Delivery,Location,FormatedStartDate,FormatedEndDate,StartDate,EndDate,Credits,Cost,Price,FormatedCost,Teachers,Teachers2,AvailableForRegistration,CapAvailable,Cap,Enrolled,MeetingTimeDisplay,PublicNotes,DirectUrl,RegistrationPageUrl,RegistrationUrl,SourceUrl,Description
3571,1254,"Implementing MOUD: Pain Management, Opioid Use, and Addiction in Alaska","Health and Behavioral Health",,On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Bekah Meyer, Dustin Muse, Aaron Walbrecher","Meyer, Bekah; Muse, Dustin; Walbrecher, Aaron",true,9971,9999,0,,"This self-paced online training equips healthcare providers with comprehensive, evidence-based knowledge and skills to deliver compassionate, inclusive care for individuals with Opioid Use Disorder (OUD) while effectively managing related pain. The course covers opioid pharmacology, pain management principles, Medications for Opioid Use Disorder (MOUD), ethical care, stigma reduction, and coordinated recovery support through interactive lessons featuring clinical scenarios, knowledge checks, and reflective prompts.",https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3571,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3571,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Part 1 of 3 with a focus on MOUD"
3785,1297,"Presentation and Management of Pediatric Acute-Onset Neuropsychiatric Syndrome (PANS)","Health and Behavioral Health",,On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3785,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3785,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"CE Available; learn about PANDAS and PANS"
1315,660,"A Narrow Window of Opportunity: Diagnosis and Management of Rheumatoid Arthritis in Underserved Populations","Health and Behavioral Health","RA, Arthritis, Rheumatoid, CME, Continuing Education, On Demand",,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1315,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1315,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Education and Resources for Primary Care Physicians"
4538,1399,"ACFTA Live Sessions 2026 - August (dates TBD) (Remote via Zoom)","Health and Behavioral Health","ACFTA, Forensic, Alaska","Live / Online",*Online,Ongoing,Ongoing,,,0,75,,$75.00,"Angelia Trujillo","Trujillo, Angelia",true,24,24,0,,"This registration is for the live session. The online session (Part 1) must be complete at least 2 days prior to the live session. This course is in August 2026 (final dates TBD), from 8am-5pm.",https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4538,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4538,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Learn trauma informed forensic evidence collection."
5,5,"Addiction Technology Transfer Center Network","Health and Behavioral Health","addiction, opioids, CME",On-Demand,,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,8921,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=5,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=5,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Courses for addictions treatment and recovery services."
189,151,"Addressing COVID-19 Vaccine Hesitancy: Pregnant Individuals & Other Vulnerable Populations","Health and Behavioral Health","COVID-19, Vaccine",On-Demand,,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=189,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=189,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Addressing Vaccine Hesitancy in Vulnerable Populations"
4076,1357,"Addressing Substance Use in Rural Alaska","Health and Behavioral Health","Substance Use, Rural, Alaska, Continuing Education, CE",On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Katy Wright, Bekah Meyer, Dustin Muse, Aaron Walbrecher","Wright, Katy; Meyer, Bekah; Muse, Dustin; Walbrecher, Aaron",true,9961,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4076,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4076,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"Asynchronous training focused on rural Alaska. CE available"
3717,1284,"AHHA - OB Care in the Emergency Department: How the ED Nurse Can “Deliver”","Health and Behavioral Health",,On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3717,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3717,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"AHHA On-demand training. CEUs available!"
3716,1283,"AHHA - Pediatric Assessment and Emergencies","Health and Behavioral Health",,On-Demand,*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3716,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3716,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"AHHA Self-Paced Modules. CEUs available!"
1322,666,"Alaska Commission for Behavioral Health Certification - Curated Resource List","Health and Behavioral Health","Certification, CE, Mental Health, Resources, Webinars","Live / Online",*Online,Ongoing,Ongoing,,,0,,,,"Instructor Varied","Varied, Instructor",false,9999,9999,0,,,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1322,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1322,https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3,"A curated list from the Alaska Commission for Behavioral Health"
